Date,Verb,C1,Infinitive,C2,PresentTense,C3,PastTense,C4,PastParticiple,Ending,Irregular,Percent,
24/11/2020 00:00,Grill,,å grille,,griller,,grillte¨,,grillte,,,50,
24/11/2020 00:00,Snow,,å snø,,snø,,snørte,,har snødd,dde,,50,
24/11/2020 00:00,help,,å hjelpe,,hjelper,,hjelpte,,hjalp,,Y,50,
25/11/2020 00:00,Discuss,,å diskuss,,diskuterer,,diskuterte,,diskurteret,,,50,
25/11/2020 00:00,Pass (as in exam),,å pass,,å består,,bestør,,bestodde,,,0,
03/01/2021 00:00,"be, feel",,å føle,,føler seg,,felte seg,,følet,te,,25,
03/01/2021 00:00,grip,,å grape,,griper,,grippte,,grepte,,,25,
03/01/2021 00:00,rise,,å rise,,eser,,este,,eset,,,50,
03/01/2021 00:00,"be found, exist",,å ble,,finner,,finde,,fint,,,0,
03/01/2021 00:00,mount,,å moiunt,,beslår,,beslør,,beslodde,,,25,
03/01/2021 00:00,purchase,,å kjøpe,,kjøper,,kjøpte,,kjøpet,te,,75,
03/01/2021 00:00,"tread, step",,å ser,,trer,,trete,,trådet,,,25,
04/01/2021 00:00,earn,,å løne,,tjener,,tjente,,tjentt,,,50,
04/01/2021 00:00,"enjoy, thrive",,å thrive,,triver,,tridde,,trivt,,,0,
04/01/2021 00:00,to move (house),,å mover,,flytter,,flutte,,flytt,,,25,
04/01/2021 00:00,gape,,å gave,,gaper,,gapte,,gaptt,,,50,
04/01/2021 00:00,"wait, expect",,å vente,,venter,,vent,,ventt,et,,50,
04/01/2021 00:00,sign,,å skrive,,underskriver,,underskrevte,,har underskrevte,,,25,
04/01/2021 00:00,fall,,å fell,,faller,,fallte,,falt,,,25,
04/01/2021 00:00,sign,,å underskrive,,underskriver,,underskrev,,har underskrevet,,,100,
04/01/2021 00:00,bother,,å bother,,bryer,,bridde,,brydte,,,0,
04/01/2021 00:00,fill,,å fille,,fyler,,fyllte,,fylet,,,0,
04/01/2021 00:00,infect,,infection,,smitter,,smitet,,smite,,,25,
05/01/2021 00:00,weigh,,å tunmp,,veier,,veste,,veidet,,,25,
05/01/2021 00:00,mount,,å munn,,beslår,,beståte,,beslott,,,25,
05/01/2021 00:00,dread,,å drømme,,gruer seg,,grued seg,,grud seg,,,25,
05/01/2021 00:00,hug,,å hugge,,hugger,,huggte,,hugg,,,50,
05/01/2021 00:00,sign,,å skrive,,overskriver,,overskrivte,,overskrevt,,,25,
05/01/2021 00:00,crow,,crowe,,galer,,galte,,golt,,,25,
05/01/2021 00:00,bleed,,å blå,,blør,,blørte,,blød,,,25,
05/01/2021 00:00,dream,,å drømme,,drømmer,,drømte,,drømet,,,75,
05/01/2021 00:00,"force, compel",,å force,,tvingler,,tvinglte,,tvangte,,,0,
05/01/2021 00:00,crack,,å krakke,,knekker,,knekkte,,knak,,,25,
05/01/2021 00:00,eat,,å spise,,spiser,,spiste,,har spist,te,,100,
06/01/2021 00:00,ride,,å ridd,,rir,,rirte,,redt,,Y,25,
06/01/2021 00:00,meet/hit,,å møte,,freffer,,treffte,,trafft,,Y,0,
06/01/2021 00:00,"be, exist",,å være,,bli,,va,,vart,,Y,25,
06/01/2021 00:00,"operate, run",,å løppe,,driver,,drivte,,drevt,,Y,25,
06/01/2021 00:00,sit,,å sitte,,sitter,,sitt,,satt,,Y,50,
06/01/2021 00:00,employ,,å jobbe,,ansetter,,ansett,,har ansatt,,Y,50,
06/01/2021 00:00,do,,å gjøre,,gjør,,gjørte,,har gjorte,,Y,50,
06/01/2021 00:00,be,,å være,,bli,,blir,,har ble,,Y,0,
06/01/2021 00:00,sit,,å sitte,,sitter,,satt,,har satt,,Y,75,
07/01/2021 00:00,enjoy,,å like,,¨nyter,,nutte,,nyte,,Y,0,
07/01/2021 00:00,"go, walk",,å go,,går,,gjore,,gikk,,Y,25,
07/01/2021 00:00,write,,å skrive,,skriver,,skrivte,,skrevte,,Y,50,
07/01/2021 00:00,ask,,å sporre,,ber,,berte,,har berte,,Y,25,
07/01/2021 00:00,"operate, run",,å drive,,driver,,drivte,,har drått,,Y,50,
