English,Infinitive,Present tense,Past tense,Past participle,Ending,A2
obey,å adlyde,adlyder,adlød,har adlydt,,
recommend,å anbefale,anbefaler,anbefalte,har anbefalt,,
employ,å ansette,ansetter,ansatte,har ansatt,,Y
open,å åpne,åpner,åpnet,har åpnet,et,
work,å arbeide,arbeider,arbeidet,har arbeidet,et,
interrupt,å avbryte,avbryter,avbrøt,har avbrutt,,Y
repulse,å avslå,avslår,avslo,har avslått,,
cede,å avstå,avstår,avstod,har avstatt,,
bath,å bade,bader,badet,har badet,,
"bear, carry",å bære,bærer,bar,har båret,,Y
to bake,å bake,baker,bakte,har bakt,te,
"beat, hit",å banke,banker,banket,har banket,,
shave,å barbere,barberer,barberte,har barbert,,
ask,å be,ber,ba,har bedt,,Y
adapt,å bearbeide,bearbeider,bearbeidet,har bearbeidet,,
drug,å bedøve,bedøver,bedøvet,har bedøvet,,
cheat,å bedra,bedrar,bedro,har bedratt,,
begin,å begynne,begynner,begynte,har begynt,te,
handle,å behandle,behandler,behandlet,har behandlet,,
graze,å beite,beiter,beitet,har beitet,,
describe,å beskrive,beskriver,beskrev,har beskrevet,,
mount,å beslå,beslår,beslo,har beslått,,
visit,å besøke,besøker,besøkte,har besøkt,,
pass (as in exam),å bestå,består,besto(d),har bestått,,
decide,å bestemme,bestemmer,bestemte,har bestemt,,
"do, order",å bestille,bestiller,bestilte,har bestilt,,
pay,å betale,betaler,betalte,har betalt,te,
"mean, signify",å bety,betyr,betydde,har betydd,dde,
to move,å bevege,beveger,beveget,har beveget,et,
bind,å binde,binder,bandt,har bundet,,
bite,å bite,biter,betalte,har bit,,
"bark, yap",å bjeffe,bjeffer,bjeffet,har bjeffet,,
"blend, mix",å blande,blander,blandet,har blandet,,
blow,å blåse,blåser,blåste,har blåst,,
be,å bli,blir,ble,har blitt,,Y
bleed,å blø,blør,blødde,har blødd,,
"live, reside",å bo,bor,bodde,har bodd,dde,
break,å brekke,brekker,brakk,har brukket,,
burn,å brenne,brenner,brant,har brent,,
bring,å bringe,bringer,brakte,har brakt,,
burst,å briste,brister,brast,har bristet,,
use,å bruke,bruker,brukte,har brukt,te,
bother,å bry,bryr,brydde,har brydd,,
"violate, break",å bryte,bryter,brøt,har brutt,,Y
should,å burde,bør,burde,har burdet,,Y
"offer, bid",å by,byr,bød,har budt,,
build,å bygge,bygger,bygde,har bygd,,
"change, exchange",å bytte,bytter,byttet,har byttet,,
dance,å danse,danser,danset,har danset,,
to cover,å dekke,dekker,dekket,har dekket,et,
"divide, share",å dele,deler,delte,har delt,,
democratize ,å demokratisere,demokratiserer,demokratiserte,har demokratisert,,
this,å dette,detter,datt,har dettet,,
discuss,å diskutere,diskuterer,diskuterte,har diskutert,,
die,å dø,dør,døde,har dødd,de,
go/travel,å dra,drar,dro,har dratt,,Y
kill,å drepe,dreper,drepte,har drept,,
drink,å drikke,drikker,drakk,har drukket,,Y
"operate, run",å drive,driver,drev,har drevet,,Y
dream,å drømme,drømmer,drømte,har drømt,,
shower,å dusje,dusjer,dusjet,har dusjet,et,
cultivate,å dyrke,dyrker,dyrket,har dyrket,,
push,å dytte,dytter,dyttet,har dyttet,,
own,å eie,eier,eide / åtte,har eid / har ått,,
rise,å ese,eser,este,har est,,
eat greedily,å ete,eter,åt,har ett,,
evangelize ,å evangelisere,evangeliserer,evangeliserte,har evangelisert,,
get/receive,å få,får,fikk,har fått,,Y
fall,å falle,faller,falt,har falt,,
dangerous,å fare,farer,for,har fart,,
celebrate,å feire,feirer,feiret,har feiret,,
find,å finne,finner,fant,har funnet,,Y
"be found, exist",å finnes,finnes,fantes,har fantes,,
fish,å fiske,fisker,fisket,har fisket,,
joke,å fleipe,fleiper,fleipte,har fleipt,,
fly,"å fly, flyge",flyr,fløy,"har fløyet, flydd",,
flee,å flykte,flykter,flyktet,har flyktet,,
float,å flyte,flyter,"fløt, fløyt",har flytt,,
to move (house),å flytte,flytter,flyttet,har flyttet,,
snort,å fnyse,fnyser,"fnøs, *fnyste",har fnyst,,
"bear, give birth to",å føde,føder,fødte,har født,,
"be, feel",å føle,føler,følte,har følt,te,
follow,å følge,følger,fulgte,har fulgt,,
blow dry ,å føne,føner,fønte,har fønt,,
unite,å forene,forener,forente,har forent,,
suggest,å foreslå,foreslår,foreslo,har foreslått,,
undertake,å foreta,foretar,foretok,har foretatt,,
prefer,å foretrekke,foretrekker,foretrakk,har foretrukket,,Y
catch a cold,å forkjøle seg,forkjøler seg,forkjølet seg,har forkjølt seg,,
explain,å forklare,forklarer,forklarte,har forklart,te,
forgive,å forlate,forlater,forlot,har forlatt,,
renew,å fornye,fornyer,fornyet,har fornyet,,
understand,å forstå,forstår,forsto,har forstått,,Y
disappear,å forsvinne,forsvinner,forsvant,har forsvunnet,,Y
"tell, explain",å fortelle,forteller,fortalte,har fortalt,,Y
continue,å fortsette,fortsetter,fortsatte,har fortsatt,,Y
gush,å fosse,fosser,fosset,har fosset,,
photograph,å fotografere,fotograferer,fotograferte,har fotografert,,
freeze,å fryse,fryser,"frøs, frøys",har frosset,,
fill,å fylle,fyller,fylte,har fylt,,
"go, walk",å gå,går,gikk,har gått,,Y
crow,å gale,galer,gol,har galt,,
gape,å gape,gaper,gapte,har gapt,,
